id,address,balance,received,meta,firstInput,lastOutput
1,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,72374.36,72374.36,,2009-01-16,
2,1Ff2xcJtfWWiNRCTUuTng6TJQm3g8h61Y2,45935.9,45935.9,,2009-11-19,
3,1Cp18yeabUg14CNp2HGwKisDoixiGgzmeT,44750.0,44750.0,,2010-02-09,
4,199QiJj1miojVSAop7gpAamscHd77r12ET,36788.45,36888.45,,2010-02-09,2010-07-21
5,17CJvRrNdqSPN3Zs2dWfNY6GoCiMRfNG2T,36235.0,42050.0,,2010-05-19,2010-08-09
6,1PREkEVoQcNa6rrB8W22PWPYzjFxiq42RH,35000.0,48000.0,,2010-07-02,2010-07-19
7,19k8nToWwMGuF4HkNpzgoVAYk4viBnEs5D,33591.33,33591.33,,2010-01-25,
8,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,31000.0,52700.0,,2010-05-13,2010-07-25
9,1GEECfBjkeUMCf3TNWCHvXZKKjnjjra7tC,29000.0,48750.0,,2010-05-05,2010-07-27
10,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,28150.0,28150.0,,2010-04-06,
11,1CRZpkKKAt7G5uiK4JPBjBJGnozgiatFAs,25000.0,25000.0,,2010-09-17,
12,15oCtt4tujaUQr1JicBqePsTg5Mz7AN3Ma,24990.0,25000.0,,2010-09-22,2010-09-23
13,14o3HbKWdgpeMrX6fwWE95nR6XRBFMKsfp,24149.55,24149.55,,2010-07-12,
14,1J2PWknrDJRY2gRmPkbvrUjgEjEDWpJtf1,20800.0,31800.0,,2010-06-26,2010-07-16
15,17ts4jTTxxcMNUAkPSoq4dtdrFrypwwrBm,20780.0,20780.0,,2010-09-23,
16,1AzAzX2c6wRHo2Hkv8eib7ft9z3ppq8vvL,20001.0,25001.0,,2010-06-28,2010-07-02
17,1Ms1rfP7dp2pu3P5u9rrZwfmVkF5HHfeJU,20000.0,20000.0,,2010-07-15,
18,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,19400.0,19400.0,,2010-07-24,
19,1Bqt2KLwU3HJSpEWcFq2GLg67NZDnEDwdG,17200.0,17200.0,,2010-07-14,
20,19n1JqKDnoqcc34HA3fdgzNxczic6Hu5Pi,16667.79,16667.79,,2010-02-05,
