id,address,balance,received,meta,lastUpdate
1,32ixEdVJWo3kmvJGMTZq5jAQVZZeuwnqzo,6114.18327959,6337.2568169,El Salvador,2025-03-13
2,15NFcYXYnEEyWyPmVzb41JtcZ1rK6MsAoy,78.25217094,78.25217094,,2025-03-13
3,14vdht15x451h7M8enbY99nXXBhZZUvJAN,78.50000547,78.50000547,,2025-03-13
4,17kgfkVAR2WtJQd2N1mJs4NZqBzTEfpe3m,78.76210547,78.76210547,,2025-03-13
5,1HXZjcvpSq1vKttBeWnL9q3g1eerF4Fc6z,78.84930547,78.84930547,,2025-03-13
6,13a9swEoMTJ8jUXxN1K3QxDEvgXkDY5Ljw,79.04001094,79.04001094,,2025-03-13
7,1EgwLwCn6QxWojyeVUmzFf7kJywqwFarke,79.05285428,79.05285428,,2025-03-13
8,15wZg8VTdWYB9zcfFAi71ccyUR3Fz34bnZ,79.27901094,79.27901094,,2025-03-13
9,1EfEDPDvSEqzrRy4ZT2Mz6UTMvp5qTFmhF,79.68000547,79.68000547,,2025-03-13
10,bc1qhd5f9ta9hngvkp9g3v80t694t4qmasezafxuhhyxq5phgk3k49xqfrr2e5,199.10500889,1199.10500889,,2025-03-13
11,bc1qzt777c8r3k0f9dd6d9jnpu8u6delqvwc9s8lrsx0nh50d7uqj2zs0gn4a7,200.00001547,1200.00001547,,2025-03-13
12,16TxJjUgGUALbyTkRUViDCikYbtXRrRtzk,80.99200547,80.99200547,,2025-03-13
13,13U3zSBUQMwY1ANyo9oHSTP1PGzc4Rr5bC,81.00000547,81.00000547,,2025-03-13
14,1MuXkzGYSt8ndN8a16jrtRbDmHtgcrN22E,81.66451094,81.66451094,,2025-03-13
15,1FXdzeQTUiUpeLAsqQpdhqj9fxA76g8uv2,81.69935735,81.69935735,,2025-03-13
16,18FHgZugc5NYE1WDH48nCsUzxPzctGpz6A,82.26001094,82.26001094,,2025-03-13
17,1JuEjh9znXwqsy5RrnKqgzqY4Ldg7rnj5n,82.51003312,82.51003312,,2025-03-13
18,15ojzgnnURD4AmxeFtbqcseRo7kysfbsGj,82.54029642,82.54029642,,2025-03-13
19,1LXn11yc1ck9BvAfxdYt9rQPp5tadXEHEs,82.75001094,82.75001094,,2025-03-13
20,1Hxh4MeQRiU5LXv5H8TVAcBN5SZUSf5xVN,82.80388689,82.80388689,,2025-03-13
21,1Mfgq358K3KcyCqyauScytoTMxCPMwc5K9,82.86477094,82.86477094,,2025-03-13
22,12H2jTq1uXSnGoneeqy4795CG4JF7eFULm,83.24000547,83.24000547,,2025-03-13
23,1APawBaRqZrqBEP7tQ5et9mZzy4g4QfeT1,83.92045408,83.92045408,,2025-03-13
24,184yLtHBmidEoH4ZbGpUpt9HwtT8KaoxFS,84.30001094,84.30001094,,2025-03-13
25,1HAtGxWigYgJT6xaTduZqYZAw3ixSdkDZd,84.70000547,84.70000547,,2025-03-13
26,16Af55WcfKLGoZPvVhGxCaFQuGzWNVprfK,84.70600547,84.70600547,,2025-03-13
27,1K7RNoWkYnWA7CfT7pq2DTFVdRWBv9uKfp,85.00000547,85.00000547,,2025-03-13
